Feature,Mean_Healthy,SD_Healthy,N_Healthy,Mean_Sick,SD_Sick,N_Sick,Mean_Treated,SD_Treated,N_Treated,p_ANOVA,p_Healthy_vs_Sick,p_Sick_vs_Treated,InjuryChange,TreatmentEffect,FinalEffect,EffectSize_Benefit,EffectSize_Harm
Mean angle value - rforelimb - shoulder std,2.67090257935368,1.2309798600829,20,3.04902805916686,1.14811169162669,20,2.48402097383822,0.905395431131745,20,0.264654376218037,0.849346461841049,1,0,0,No effect,NaN,NaN
Mean angle value - rforelimb - elbow (°),109.201594045435,2.69643362533795,20,110.747644346393,2.88659851774813,20,109.583104793796,1.92739547674456,20,0.142750079895651,0.177042789477884,1,0,0,No effect,NaN,NaN
Mean angle value - rforelimb - elbow std,2.27236648849555,1.33732109690055,20,2.0519241524161,1.0980832047732,20,2.22669353141415,0.891067614860411,20,0.807661011686113,1,1,0,0,No effect,NaN,NaN
Mean angle value - rforelimb - wrist (°),144.611299645003,2.62095049993648,20,146.641127651969,2.90780686981652,20,145.413964100004,2.777761167725,20,0.074330426339157,0.0725015203881645,1,0,0,No effect,NaN,NaN
Mean angle value - rforelimb - wrist std,3.17725763117256,1.73583691997318,20,2.30393933350803,1.1140083453947,20,2.60508165923425,1.15516284830997,20,0.130267168445253,0.143187120741552,0.570696637297905,0,0,No effect,NaN,NaN
Mean angle value - rforelimb - lForepaw (°),148.850603043788,3.45061024050933,20,148.970588781572,4.53411190788376,20,145.389254094149,4.45519094271644,20,0.0124161163989654,1,0.0336441042974019,0,1,No effect,NaN,NaN
Mean angle value - rforelimb - lForepaw std,2.84572664734013,2.15135074168893,20,2.96487021739469,1.20466346162983,20,3.62277973079394,2.17310715372793,20,0.384195941354343,1,0.601650817658919,0,0,No effect,NaN,NaN
Mean angle value - rhindlimb - hip (°),98.3049188017367,2.90421985072705,20,99.5120434639918,3.2972084362449,20,101.330654079885,3.69438983794409,20,0.0194732474442546,0.762706878963482,0.0164622442224294,0,1,No effect,NaN,NaN
Mean angle value - rhindlimb - hip std,3.31160939210291,1.86988809160155,20,2.87408583520696,1.30325465876646,20,2.88007474701385,1.48146805037682,20,0.60256031630658,1,1,0,0,No effect,NaN,NaN
Mean angle value - rhindlimb - knee (°),92.2049978090463,1.30251345125622,20,91.1205041954931,2.44903177319138,20,89.9367353863641,2.11215858704452,20,0.00323011778119376,0.281634197674497,0.00224473423669281,0,1,No effect,NaN,NaN
Mean angle value - rhindlimb - knee std,1.51670570458954,0.859621429697865,20,1.69251289074284,0.770489813974423,20,1.2641832077705,0.600763727243154,20,0.20254176235151,1,0.8770183341752,0,0,No effect,NaN,NaN
Mean angle value - rhindlimb - ankle (°),66.6164334726958,3.6968417708903,20,67.1125956433155,2.66063425098087,20,64.9923734716604,3.24280768366002,20,0.103541787911861,1,0.351452336850934,0,0,No effect,NaN,NaN
Mean angle value - rhindlimb - ankle std,3.66879528637158,1.64326598029473,20,2.33261874027532,1.08741584463774,20,2.42342272025082,1.01126297215946,20,0.00221394905602559,0.00494800525924932,0.00955592095095996,1,1,Restoration,0.0908039799755027,NaN
Mean angle value - rhindlimb - lHindpaw (°),152.104645538988,2.91585460830619,20,147.359593873156,1.91205918156598,20,149.550633059671,1.68918862356627,20,6.12514835349327e-08,2.92280369537777e-08,0.00193770532741481,1,1,Restoration,2.19103918651467,NaN
Mean angle value - rhindlimb - lHindpaw std,2.67966541909996,1.20092278499248,20,1.893391795534,0.952991343607817,20,1.85064217961461,0.65420163577049,20,0.0128422942495983,0.0370913043800328,0.0256307975170279,1,1,Worsening,NaN,0.0427496159193905
Mean angle value - rhindlimb - lHindfingers (°),150.981673418575,3.63827454723817,20,154.838386270248,3.14935667856248,20,155.387860588575,4.51659786670217,20,0.000906739184026523,0.00672412791000151,0.00167532437075366,1,1,Worsening,NaN,0.549474318326901
Mean angle value - rhindlimb - lHindfingers std,3.31720367213254,1.82023334287226,20,2.07088099193289,0.845897044080361,20,2.56841717934254,1.42270731625743,20,0.025820615179956,0.0223771323049307,0.302997560728973,1,0,No effect,NaN,NaN
Mean angle value - spine - head (°),42.4858687611625,3.41509312042428,20,39.1690392202532,3.69185357012766,20,40.6554946930712,2.44619105714711,20,0.00777591741425577,0.00584305300438142,0.23501563315427,1,0,No effect,NaN,NaN
Mean angle value - spine - head std,2.92653404665552,1.90689591177855,20,3.29675058051166,1.75027683326336,20,3.02516432763493,1.93592277561461,20,0.810323101234026,1,1,0,0,No effect,NaN,NaN
Mean angle value - spine - spine 1 (°),152.171078758835,3.49020807876891,20,154.941251455609,4.07733540165967,20,154.906983095086,3.6428442060441,20,0.0336144220613838,0.0685778429200492,0.0735653527921571,0,0,No effect,NaN,NaN
Mean angle value - spine - spine 1 std,3.55183307409935,2.04976859255396,20,4.26323709078842,1.90511721680242,20,3.68360667417836,1.32037623215902,20,0.413214985485457,0.639189831283394,1,0,0,No effect,NaN,NaN
Mean angle value - spine - spine 2 (°),174.174822367208,1.8514735138181,20,173.552622435515,3.29722010467657,20,173.941582328809,3.48550822313048,20,0.799901446543928,1,1,0,0,No effect,NaN,NaN
Mean angle value - spine - spine 2 std,2.45458852983927,1.80662514801185,20,2.64354200281705,1.96646944033477,20,2.30843038325125,1.43503217077875,20,0.832189084008705,1,1,0,0,No effect,NaN,NaN
Mean angle value - spine - spine 3 (°),152.566533907817,3.87780973701625,20,153.150125361211,3.12733505805804,20,152.141327327568,3.9071011621347,20,0.682903061128691,1,1,0,0,No effect,NaN,NaN
Mean angle value - spine - spine 3 std,4.24207016747636,2.12146603206325,20,3.56504977158915,1.62803361426711,20,3.28989305677797,1.27677723591006,20,0.202873096112688,0.647739614081416,0.251346349642517,0,0,No effect,NaN,NaN
Mean angle value - spine - spine 4 (°),166.445299734216,1.97505120748283,20,164.916543659545,2.00499681997798,20,163.923722770571,2.49862502541788,20,0.0021838184929833,0.090190114632204,0.00160817392186884,0,1,No effect,NaN,NaN
Mean angle value - spine - spine 4 std,1.74205955755125,0.832716233580152,20,1.94627032685748,0.951117263344299,20,1.64460943572075,0.95568741051257,20,0.57083038584571,1,1,0,0,No effect,NaN,NaN
Mean angle value - spine - base (°),30.8073325560792,3.63776835932766,20,31.1981402233287,3.72728432480053,20,33.1453323531533,4.35994849570588,20,0.139444875125345,1,0.193454290348776,0,0,No effect,NaN,NaN
Mean angle value - spine - base std,3.74737480804561,1.75230233997336,20,3.41362885681968,1.70198198471542,20,2.69045177144828,1.09079697084956,20,0.0955853326228741,1,0.104034143108838,0,0,No effect,NaN,NaN
Mean angle value - tail - base (°),7.34416002237872,3.71474178869516,20,7.50146738219845,2.43960207077835,20,6.23299510783737,2.43297566449461,20,0.334181624142791,1,0.703897982061335,0,0,No effect,NaN,NaN
