Feature,Mean Healthy Left C,SD Healthy Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Healthy Left C,Number of samples in Sick Left E,p-value Healthy Left C vs Sick Left E,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration at stance - rforelimb - lForepaw (rad/s^2),3909.773577761981,1696.389770588855,3533.5103126356116,1961.3480214349968,10,10,0.02631259048950733,*,Circular,Mean angle acceleration at stance - rforelimb - lForepaw (rad/s^2),273.10591066305824,0.11804029101114992,towards_healthy
Mean angle acceleration at stance - rforelimb - lForepaw std,2441.3933568466837,1256.2385200272859,1452.874772494194,973.34985900252,10,10,0.10743818324620574,n.s.,Levene,Mean angle acceleration at stance - rforelimb - lForepaw std,-174.4219126090063,-0.22734904972132106,away_from_healthy
Mean angle acceleration at stance - rforelimb - shoulder (rad/s^2),370.839206956981,211.7063639367037,236.72464804975607,197.28223624892308,10,10,0.19075456799041196,n.s.,Circular,Mean angle acceleration at stance - rforelimb - shoulder (rad/s^2),-138.30792182799485,-0.6304586696342764,away_from_healthy
Mean angle acceleration at stance - rforelimb - shoulder std,257.1425523435052,142.26103788474484,205.9731895547136,113.78642249363111,10,10,0.48292781582106525,n.s.,Levene,Mean angle acceleration at stance - rforelimb - shoulder std,5.726228057396412,0.07906065613245798,towards_healthy
Mean angle acceleration at stance - rforelimb - wrist (rad/s^2),-1014.2197581452298,830.116870672603,-1403.5694806783008,2515.498543297349,10,10,0.1342633228357422,n.s.,Circular,Mean angle acceleration at stance - rforelimb - wrist (rad/s^2),1631.1898864029085,0.8689228910966796,towards_healthy
Mean angle acceleration at stance - rforelimb - wrist std,1244.2522227580603,644.1705306053728,1768.7178346779742,972.9756849993882,10,10,0.4517764902849494,n.s.,Levene,Mean angle acceleration at stance - rforelimb - wrist std,3.6351348498110383,0.003025485581313648,towards_healthy
Mean angle acceleration at stance - rhindlimb - ankle (rad/s^2),-706.4477985198488,332.7410555297896,-653.1214967452081,229.88541615988333,10,10,0.5831820391850757,n.s.,Circular,Mean angle acceleration at stance - rhindlimb - ankle (rad/s^2),-277.0597256953547,-0.8716975693210556,away_from_healthy
Mean angle acceleration at stance - rhindlimb - ankle std,303.4140278338805,131.08741666265865,267.3902987654924,135.2728843315883,10,10,0.9204906020767791,n.s.,Levene,Mean angle acceleration at stance - rhindlimb - ankle std,-0.44091392757366066,-0.002311837355003335,away_from_healthy
Mean angle acceleration at stance - rhindlimb - hip (rad/s^2),-366.1085730268805,279.3348187926207,-273.99517480805804,221.04944122690543,10,10,0.1845186734801489,n.s.,Circular,Mean angle acceleration at stance - rhindlimb - hip (rad/s^2),-104.03965189255354,-0.3520545215014782,away_from_healthy
Mean angle acceleration at stance - rhindlimb - hip std,367.2739696740056,273.2130431200648,270.10926463151907,149.04791909986463,10,10,0.15724353967306837,n.s.,Levene,Mean angle acceleration at stance - rhindlimb - hip std,69.45338723592727,0.46399650785571794,towards_healthy
Mean angle acceleration at stance - rhindlimb - knee (rad/s^2),-146.4805381129093,163.84785207736996,-185.43706841911006,124.19276672315081,10,10,0.18815955018300876,n.s.,Circular,Mean angle acceleration at stance - rhindlimb - knee (rad/s^2),13.509060596719934,0.06616170123662622,towards_healthy
Mean angle acceleration at stance - rhindlimb - knee std,211.3374806851276,100.97137822928593,250.5857140584938,105.60606571160265,10,10,0.6902197986377777,n.s.,Levene,Mean angle acceleration at stance - rhindlimb - knee std,-37.969748100236444,-0.3091443421322661,away_from_healthy
