Feature,Mean Healthy Left B,SD Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Healthy Left B,Number of samples in Sick Left C,p-value Healthy Left B vs Sick Left C,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration at peak - spine - spine 3 (rad/s^2),-36.40151754929572,96.02740740447777,-84.6690536626167,166.275163306146,10,10,0.30105500948822544,n.s.,Circular,Mean angle acceleration at peak - spine - spine 3 (rad/s^2),29.962975307704326,0.22068411005616712,towards_healthy
Mean angle acceleration at peak - spine - spine 3 std,163.0649038746414,114.39393822251957,130.21852032563157,87.40746106061444,10,10,0.29674827075872634,n.s.,Levene,Mean angle acceleration at peak - spine - spine 3 std,13.823972829059358,0.1357968609875453,towards_healthy
Mean angle acceleration at peak - spine - spine 4 (rad/s^2),32.267742619201876,110.93529922770183,20.609862033229337,103.24373212750179,10,10,0.7500398252528685,n.s.,Circular,Mean angle acceleration at peak - spine - spine 4 (rad/s^2),-3.1050514268163276,-0.028976236459490035,away_from_healthy
Mean angle acceleration at peak - spine - spine 4 std,113.88053822937704,63.11660311606102,132.01393564184914,73.36309733508588,10,10,0.7258913080127827,n.s.,Levene,Mean angle acceleration at peak - spine - spine 4 std,15.32407987258945,0.22393182222650046,towards_healthy
Mean angle acceleration at peak - tail - base (rad/s^2),-35.07383498021759,45.93326790219382,-3.5677688762151893,39.80750023452075,10,10,0.10463187532682922,n.s.,Circular,Mean angle acceleration at peak - tail - base (rad/s^2),23.914216017002087,0.5564077653187062,towards_healthy
Mean angle acceleration at peak - tail - base std,81.69878967162035,55.96889700789772,80.52812835607062,36.57576074115126,10,10,0.4694588129024573,n.s.,Levene,Mean angle acceleration at peak - tail - base std,-14.109355569644563,-0.29843768421751904,away_from_healthy
Mean angle acceleration at peak - tail - tail 1 (rad/s^2),-18.872727743378626,126.42767879233902,12.994002536668006,64.26619705956765,10,10,0.09778956957219859,n.s.,Circular,Mean angle acceleration at peak - tail - tail 1 (rad/s^2),24.68518422307574,0.24615068341871002,towards_healthy
Mean angle acceleration at peak - tail - tail 1 std,115.67900329152845,34.60449826503051,98.93909673890634,49.53897556437558,10,10,0.1597255323019156,n.s.,Levene,Mean angle acceleration at peak - tail - tail 1 std,13.569512791093103,0.3175694811159693,towards_healthy
Mean angle acceleration at peak - tail - tail 2 (rad/s^2),15.691145714923604,79.13018385876667,10.219278413727638,149.60661574109125,10,10,0.12366948886797638,n.s.,Circular,Mean angle acceleration at peak - tail - tail 2 (rad/s^2),-5.429711710970546,-0.045370860689090506,away_from_healthy
Mean angle acceleration at peak - tail - tail 2 std,139.33076696901526,84.38641389370339,132.53714702370405,88.51083656026222,10,10,0.8999014389644006,n.s.,Levene,Mean angle acceleration at peak - tail - tail 2 std,-23.904803373468596,-0.2764416982018474,away_from_healthy
Mean angle acceleration at peak - tail - tail 3 (rad/s^2),-12.649020594534601,146.81054506336852,28.476543891527236,100.95101803776485,10,10,0.3265198245130255,n.s.,Circular,Mean angle acceleration at peak - tail - tail 3 (rad/s^2),-1.3000603416978151,-0.010319167085154455,away_from_healthy
Mean angle acceleration at peak - tail - tail 3 std,157.65141548272067,72.72691060274842,180.98848430098874,102.5682483904923,10,10,0.42458459579075003,n.s.,Levene,Mean angle acceleration at peak - tail - tail 3 std,-2.8154804605418633,-0.03166716224309823,away_from_healthy
Mean angle acceleration at peak - tail - tail 4 (rad/s^2),5.259486061847946,150.09342164676923,0.7908711936717111,114.87671564821464,10,10,0.060029534315886694,n.s.,Circular,Mean angle acceleration at peak - tail - tail 4 (rad/s^2),-58.74000320557249,-0.43950588913801086,away_from_healthy
Mean angle acceleration at peak - tail - tail 4 std,185.19668294156716,84.42907791651473,153.88369942847922,93.09307722996502,10,10,0.3191896329552366,n.s.,Levene,Mean angle acceleration at peak - tail - tail 4 std,-42.717610685192255,-0.480692968844718,away_from_healthy
Mean angle acceleration at stance - rforelimb - elbow (rad/s^2),-909.889607174999,333.8163879339139,-696.2648367843195,391.5180115858655,10,10,0.6940370982287664,n.s.,Circular,Mean angle acceleration at stance - rforelimb - elbow (rad/s^2),147.64316349044873,0.40582162058830734,towards_healthy
Mean angle acceleration at stance - rforelimb - elbow std,436.2442243025642,260.7881000321945,434.62803340317396,267.3154873328146,10,10,0.9329263614222658,n.s.,Levene,Mean angle acceleration at stance - rforelimb - elbow std,-34.70622665670277,-0.13142715459854934,away_from_healthy
Mean angle acceleration at stance - rforelimb - lForepaw (rad/s^2),4287.312088161811,2778.685457288553,5314.219774351068,1727.719856375989,10,10,0.21438837883535902,n.s.,Circular,Mean angle acceleration at stance - rforelimb - lForepaw (rad/s^2),273.10591066305824,0.11804029101114992,towards_healthy
Mean angle acceleration at stance - rforelimb - lForepaw std,2638.9991861042845,836.1687906328445,1627.2966851032004,691.3824386886988,10,10,0.5469908070566043,n.s.,Levene,Mean angle acceleration at stance - rforelimb - lForepaw std,-174.4219126090063,-0.22734904972132106,away_from_healthy
Mean angle acceleration at stance - rforelimb - shoulder (rad/s^2),427.823653125237,259.0464132226828,375.0325698777509,170.72551105852588,10,10,0.22946308861544304,n.s.,Circular,Mean angle acceleration at stance - rforelimb - shoulder (rad/s^2),-138.30792182799485,-0.6304586696342764,away_from_healthy
Mean angle acceleration at stance - rforelimb - shoulder std,193.08857863269304,74.31869431321687,174.47773965327607,70.48720305382611,10,10,0.8618003126576206,n.s.,Levene,Mean angle acceleration at stance - rforelimb - shoulder std,5.726228057396412,0.07906065613245798,towards_healthy
Mean angle acceleration at stance - rforelimb - wrist (rad/s^2),-1499.3058697941433,2037.3557285827253,227.62040572460774,1702.161769522035,10,10,0.016947134954693736,*,Circular,Mean angle acceleration at stance - rforelimb - wrist (rad/s^2),1631.1898864029085,0.8689228910966796,towards_healthy
Mean angle acceleration at stance - rforelimb - wrist std,2007.9083280182094,1180.4375382787437,1765.0826998281632,1222.2085895603122,10,10,0.7486188684250022,n.s.,Levene,Mean angle acceleration at stance - rforelimb - wrist std,3.6351348498110383,0.003025485581313648,towards_healthy
Mean angle acceleration at stance - rhindlimb - ankle (rad/s^2),-1011.1201186940792,242.72970854491882,-930.1812224405628,378.3198399849769,10,10,0.171728456177437,n.s.,Circular,Mean angle acceleration at stance - rhindlimb - ankle (rad/s^2),-277.0597256953547,-0.8716975693210556,away_from_healthy
Mean angle acceleration at stance - rhindlimb - ankle std,294.68520745851185,171.45099643503684,267.83121269306605,208.21357785461475,10,10,0.9681420210867652,n.s.,Levene,Mean angle acceleration at stance - rhindlimb - ankle std,-0.44091392757366066,-0.002311837355003335,away_from_healthy
Mean angle acceleration at stance - rhindlimb - hip (rad/s^2),-684.0594658598975,361.62089321763415,-378.0348267006116,209.51407640260382,10,10,0.1317884641539159,n.s.,Circular,Mean angle acceleration at stance - rhindlimb - hip (rad/s^2),-104.03965189255354,-0.3520545215014782,away_from_healthy
Mean angle acceleration at stance - rhindlimb - hip std,370.4947898572629,193.90162710642366,200.6558773955918,84.93201827683676,10,10,0.1186980801146849,n.s.,Levene,Mean angle acceleration at stance - rhindlimb - hip std,69.45338723592727,0.46399650785571794,towards_healthy
Mean angle acceleration at stance - rhindlimb - knee (rad/s^2),-2.266776117175243,242.0398068241338,-198.94612901583,157.4728757594638,10,10,0.6419576483051713,n.s.,Circular,Mean angle acceleration at stance - rhindlimb - knee (rad/s^2),13.509060596719934,0.06616170123662622,towards_healthy
Mean angle acceleration at stance - rhindlimb - knee std,200.86027033549033,142.04093799163311,189.1045747127233,99.97446576542929,10,10,0.7222351781098204,n.s.,Levene,Mean angle acceleration at stance - rhindlimb - knee std,-37.969748100236444,-0.3091443421322661,away_from_healthy
Mean angle acceleration at stance - rhindlimb - lHindfingers (rad/s^2),-230.6491745944626,243.0630821197965,-11.159741199745172,203.964645741881,10,10,0.03885939289151713,*,Circular,Mean angle acceleration at stance - rhindlimb - lHindfingers (rad/s^2),15.532799741226057,0.06922938380401032,towards_healthy
Mean angle acceleration at stance - rhindlimb - lHindfingers std,307.802163216628,187.50541786904355,194.70935515907195,120.65978435965637,10,10,0.25199885721887566,n.s.,Levene,Mean angle acceleration at stance - rhindlimb - lHindfingers std,73.24040564542275,0.46452917606139027,towards_healthy
Mean angle acceleration at stance - rhindlimb - lHindpaw (rad/s^2),852.0089058422803,303.970313886624,722.2454159452998,532.0586440515823,10,10,0.1096514903256543,n.s.,Circular,Mean angle acceleration at stance - rhindlimb - lHindpaw (rad/s^2),-320.6641305082645,-0.7400643065690449,away_from_healthy
Mean angle acceleration at stance - rhindlimb - lHindpaw std,404.5562313998529,313.32120572413345,508.5268661214981,330.9459771132046,10,10,0.6160696672537265,n.s.,Levene,Mean angle acceleration at stance - rhindlimb - lHindpaw std,-49.632506222775646,-0.15401667594600083,away_from_healthy
Mean angle acceleration at stance - spine - base (rad/s^2),-111.14445595163491,70.57213648238024,-113.26494254662605,98.96399441274617,10,10,0.07159840392114798,n.s.,Circular,Mean angle acceleration at stance - spine - base (rad/s^2),-9.708971043116804,-0.11296262269161066,away_from_healthy
Mean angle acceleration at stance - spine - base std,84.36936057735441,34.193871825950104,83.88032830382011,54.77398619616641,10,10,0.15789742997848555,n.s.,Levene,Mean angle acceleration at stance - spine - base std,-15.853394861466569,-0.34721617630120344,away_from_healthy
Mean angle acceleration at stance - spine - head (rad/s^2),-44.49136150478881,62.48729202436943,-29.315499755673414,63.378524582044754,10,10,0.4809172318904966,n.s.,Circular,Mean angle acceleration at stance - spine - head (rad/s^2),11.039391765262891,0.17541085144673782,towards_healthy
